prefCode,prefJP,prefEN,population
01,北海道,Hokkaido,5286
02,青森県,Aomori,1263
03,岩手県,Iwate,1241
04,宮城県,Miyagi,2316
05,秋田県,Akita,981
06,山形県,Yamagata,1090
07,福島県,Fukushima,1864
08,茨城県,Ibaraki,2877
09,栃木県,Tochigi,1946
10,群馬県,Gumma,1952
11,埼玉県,Saitama,7330
12,千葉県,Chiba,6255
13,東京都,Tokyo,13822
14,神奈川県,Kanagawa,9177
15,新潟県,Niigata,2246
16,富山県,Toyama,1050
17,石川県,Ishikawa,1143
18,福井県,Fukui,774
19,山梨県,Yamanashi,817
20,長野県,Nagano,2063
21,岐阜県,Gifu,1997
22,静岡県,Shizuoka,3659
23,愛知県,Aichi,7537
24,三重県,Mie,1791
25,滋賀県,Shiga,1412
26,京都府,Kyoto,2591
27,大阪府,Osaka,8813
28,兵庫県,Hyogo,5484
29,奈良県,Nara,1339
30,和歌山県,Wakayama,935
31,鳥取県,Tottori,560
32,島根県,Shimane,680
33,岡山県,Okayama,1898
34,広島県,Hiroshima,2817
35,山口県,Yamaguchi,1370
36,徳島県,Tokushima,736
37,香川県,Kagawa,962
38,愛媛県,Ehime,1352
39,高知県,Kochi,706
40,福岡県,Fukuoka,5107
41,佐賀県,Saga,819
42,長崎県,Nagasaki,1341
43,熊本県,Kumamoto,1757
44,大分県,Oita,1144
45,宮崎県,Miyazaki,1081
46,鹿児島県,Kagoshima,1614
47,沖縄県,Okinawa,1448